archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,3.0,z_plus_orth,0.001,500,0.194
peer_gaming,0.5,z_plus,0.05,500,0.092
peer_gaming,0.5,z_plus,0.01,500,0.026
peer_gaming,0.5,z_plus,0.001,500,0.006
peer_gaming,0.5,z_plus_renorm,0.05,499,0.0501002004008016
peer_gaming,0.5,z_plus_renorm,0.01,499,0.0080160320641282
peer_gaming,0.5,z_plus_renorm,0.001,499,0.0
peer_gaming,0.5,breadth,0.05,500,0.018
peer_gaming,0.5,breadth,0.01,500,0.0
peer_gaming,0.5,breadth,0.001,500,0.0
peer_gaming,0.5,z_mahalanobis_sq,0.05,500,0.06
peer_gaming,0.5,z_mahalanobis_sq,0.01,500,0.012
peer_gaming,0.5,z_mahalanobis_sq,0.001,500,0.002
peer_gaming,0.5,t_iut,0.05,500,0.08
peer_gaming,0.5,t_iut,0.01,500,0.014
peer_gaming,0.5,t_iut,0.001,500,0.006
peer_gaming,0.5,z_plus_softmax,0.05,499,0.034068136272545
peer_gaming,0.5,z_plus_softmax,0.01,499,0.0180360721442885
peer_gaming,0.5,z_plus_softmax,0.001,499,0.0100200400801603
peer_gaming,0.5,z_plus_orth,0.05,499,0.0400801603206412
peer_gaming,0.5,z_plus_orth,0.01,499,0.0180360721442885
peer_gaming,0.5,z_plus_orth,0.001,499,0.0100200400801603
peer_gaming,1.0,z_plus,0.05,500,0.134
peer_gaming,1.0,z_plus,0.01,500,0.032
peer_gaming,1.0,z_plus,0.001,500,0.002
peer_gaming,1.0,z_plus_renorm,0.05,500,0.024
peer_gaming,1.0,z_plus_renorm,0.01,500,0.0
peer_gaming,1.0,z_plus_renorm,0.001,500,0.0
peer_gaming,1.0,breadth,0.05,500,0.052
peer_gaming,1.0,breadth,0.01,500,0.0
peer_gaming,1.0,breadth,0.001,500,0.0
peer_gaming,1.0,z_mahalanobis_sq,0.05,500,0.126
peer_gaming,1.0,z_mahalanobis_sq,0.01,500,0.01
peer_gaming,1.0,z_mahalanobis_sq,0.001,500,0.002
peer_gaming,1.0,t_iut,0.05,500,0.152
peer_gaming,1.0,t_iut,0.01,500,0.048
peer_gaming,1.0,t_iut,0.001,500,0.01
peer_gaming,1.0,z_plus_softmax,0.05,500,0.016
peer_gaming,1.0,z_plus_softmax,0.01,500,0.008
peer_gaming,1.0,z_plus_softmax,0.001,500,0.008
peer_gaming,1.0,z_plus_orth,0.05,500,0.014
peer_gaming,1.0,z_plus_orth,0.01,500,0.01
peer_gaming,1.0,z_plus_orth,0.001,500,0.008
peer_gaming,1.5,z_plus,0.05,500,0.196
peer_gaming,1.5,z_plus,0.01,500,0.064
peer_gaming,1.5,z_plus,0.001,500,0.018
peer_gaming,1.5,z_plus_renorm,0.05,500,0.044
peer_gaming,1.5,z_plus_renorm,0.01,500,0.002
peer_gaming,1.5,z_plus_renorm,0.001,500,0.0
peer_gaming,1.5,breadth,0.05,500,0.074
peer_gaming,1.5,breadth,0.01,500,0.0
peer_gaming,1.5,breadth,0.001,500,0.0
peer_gaming,1.5,z_mahalanobis_sq,0.05,500,0.236
peer_gaming,1.5,z_mahalanobis_sq,0.01,500,0.046
peer_gaming,1.5,z_mahalanobis_sq,0.001,500,0.008
peer_gaming,1.5,t_iut,0.05,500,0.154
peer_gaming,1.5,t_iut,0.01,500,0.07
peer_gaming,1.5,t_iut,0.001,500,0.028
peer_gaming,1.5,z_plus_softmax,0.05,500,0.012
peer_gaming,1.5,z_plus_softmax,0.01,500,0.008
